claim_id,state,district,risk_score,risk_level,priority,decision_brief
FRA0156,Madhya Pradesh,Dindori,25,LOW,Normal,"Claim FRA0156 from Dindori, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0157,Maharashtra,Nashik,5,LOW,Normal,"Claim FRA0157 from Nashik, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0158,Madhya Pradesh,Mandla,15,LOW,Normal,"Claim FRA0158 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0159,Maharashtra,Nashik,10,LOW,Normal,"Claim FRA0159 from Nashik, Maharashtra has a risk score of 10/100 (LOW). No major risk indicators were detected for this claim. Key factors: ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0160,Odisha,Mayurbhanj,35,MEDIUM,Moderate,"Claim FRA0160 from Mayurbhanj, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0161,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0161 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0162,Madhya Pradesh,Mandla,20,LOW,Normal,"Claim FRA0162 from Mandla, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0163,Maharashtra,Nandurbar,0,LOW,Normal,"Claim FRA0163 from Nandurbar, Maharashtra has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0164,Chhattisgarh,Surguja,30,LOW,Normal,"Claim FRA0164 from Surguja, Chhattisgarh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0165,Maharashtra,Nandurbar,15,LOW,Normal,"Claim FRA0165 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0166,Maharashtra,Nashik,35,MEDIUM,Moderate,"Claim FRA0166 from Nashik, Maharashtra has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0167,Maharashtra,Gadchiroli,30,LOW,Normal,"Claim FRA0167 from Gadchiroli, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0168,Maharashtra,Nashik,30,LOW,Normal,"Claim FRA0168 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0169,Maharashtra,Nandurbar,40,MEDIUM,Moderate,"Claim FRA0169 from Nandurbar, Maharashtra has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0170,Chhattisgarh,Bastar,30,LOW,Normal,"Claim FRA0170 from Bastar, Chhattisgarh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0171,Jharkhand,Simdega,0,LOW,Normal,"Claim FRA0171 from Simdega, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0172,Chhattisgarh,Surguja,25,LOW,Normal,"Claim FRA0172 from Surguja, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0173,Maharashtra,Nandurbar,0,LOW,Normal,"Claim FRA0173 from Nandurbar, Maharashtra has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0174,Madhya Pradesh,Dindori,30,LOW,Normal,"Claim FRA0174 from Dindori, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0175,Madhya Pradesh,Dindori,15,LOW,Normal,"Claim FRA0175 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0176,Odisha,Keonjhar,20,LOW,Normal,"Claim FRA0176 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0177,Maharashtra,Gadchiroli,25,LOW,Normal,"Claim FRA0177 from Gadchiroli, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0178,Odisha,Koraput,30,LOW,Normal,"Claim FRA0178 from Koraput, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0179,Maharashtra,Nandurbar,30,LOW,Normal,"Claim FRA0179 from Nandurbar, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0180,Madhya Pradesh,Dindori,5,LOW,Normal,"Claim FRA0180 from Dindori, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0181,Madhya Pradesh,Mandla,15,LOW,Normal,"Claim FRA0181 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0182,Odisha,Koraput,20,LOW,Normal,"Claim FRA0182 from Koraput, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0183,Maharashtra,Nandurbar,20,LOW,Normal,"Claim FRA0183 from Nandurbar, Maharashtra has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0184,Odisha,Mayurbhanj,0,LOW,Normal,"Claim FRA0184 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0185,Maharashtra,Nandurbar,15,LOW,Normal,"Claim FRA0185 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0186,Chhattisgarh,Bastar,20,LOW,Normal,"Claim FRA0186 from Bastar, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0187,Madhya Pradesh,Mandla,30,LOW,Normal,"Claim FRA0187 from Mandla, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0188,Madhya Pradesh,Mandla,35,MEDIUM,Moderate,"Claim FRA0188 from Mandla, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0189,Odisha,Koraput,15,LOW,Normal,"Claim FRA0189 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0190,Jharkhand,Simdega,20,LOW,Normal,"Claim FRA0190 from Simdega, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0191,Odisha,Mayurbhanj,5,LOW,Normal,"Claim FRA0191 from Mayurbhanj, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0192,Odisha,Mayurbhanj,35,MEDIUM,Moderate,"Claim FRA0192 from Mayurbhanj, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0193,Chhattisgarh,Bastar,15,LOW,Normal,"Claim FRA0193 from Bastar, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0194,Jharkhand,Gumla,25,LOW,Normal,"Claim FRA0194 from Gumla, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0195,Madhya Pradesh,Mandla,20,LOW,Normal,"Claim FRA0195 from Mandla, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0196,Jharkhand,Simdega,5,LOW,Normal,"Claim FRA0196 from Simdega, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0197,Chhattisgarh,Bastar,40,MEDIUM,Moderate,"Claim FRA0197 from Bastar, Chhattisgarh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0198,Jharkhand,Simdega,35,MEDIUM,Moderate,"Claim FRA0198 from Simdega, Jharkhand has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0199,Madhya Pradesh,Mandla,25,LOW,Normal,"Claim FRA0199 from Mandla, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0200,Madhya Pradesh,Dindori,5,LOW,Normal,"Claim FRA0200 from Dindori, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0201,Odisha,Mayurbhanj,0,LOW,Normal,"Claim FRA0201 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0202,Madhya Pradesh,Balaghat,30,LOW,Normal,"Claim FRA0202 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0203,Odisha,Keonjhar,20,LOW,Normal,"Claim FRA0203 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0204,Chhattisgarh,Bastar,30,LOW,Normal,"Claim FRA0204 from Bastar, Chhattisgarh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0205,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0205 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0206,Jharkhand,Gumla,5,LOW,Normal,"Claim FRA0206 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0207,Odisha,Keonjhar,0,LOW,Normal,"Claim FRA0207 from Keonjhar, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0208,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0208 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0209,Odisha,Keonjhar,5,LOW,Normal,"Claim FRA0209 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0210,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0210 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0211,Chhattisgarh,Surguja,15,LOW,Normal,"Claim FRA0211 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0212,Odisha,Mayurbhanj,15,LOW,Normal,"Claim FRA0212 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0213,Odisha,Koraput,20,LOW,Normal,"Claim FRA0213 from Koraput, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0214,Madhya Pradesh,Balaghat,5,LOW,Normal,"Claim FRA0214 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0215,Chhattisgarh,Surguja,35,MEDIUM,Moderate,"Claim FRA0215 from Surguja, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0216,Jharkhand,Ranchi,25,LOW,Normal,"Claim FRA0216 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0217,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0217 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0218,Maharashtra,Nandurbar,15,LOW,Normal,"Claim FRA0218 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0219,Jharkhand,Ranchi,30,LOW,Normal,"Claim FRA0219 from Ranchi, Jharkhand has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0220,Chhattisgarh,Kanker,15,LOW,Normal,"Claim FRA0220 from Kanker, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0221,Chhattisgarh,Bastar,25,LOW,Normal,"Claim FRA0221 from Bastar, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0222,Jharkhand,Ranchi,15,LOW,Normal,"Claim FRA0222 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0223,Maharashtra,Gadchiroli,5,LOW,Normal,"Claim FRA0223 from Gadchiroli, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0224,Maharashtra,Nashik,15,LOW,Normal,"Claim FRA0224 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0225,Jharkhand,Ranchi,15,LOW,Normal,"Claim FRA0225 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0226,Chhattisgarh,Bastar,25,LOW,Normal,"Claim FRA0226 from Bastar, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0227,Madhya Pradesh,Balaghat,15,LOW,Normal,"Claim FRA0227 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0228,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0228 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0229,Jharkhand,Ranchi,5,LOW,Normal,"Claim FRA0229 from Ranchi, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0230,Maharashtra,Nashik,5,LOW,Normal,"Claim FRA0230 from Nashik, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0231,Madhya Pradesh,Balaghat,5,LOW,Normal,"Claim FRA0231 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0232,Chhattisgarh,Bastar,35,MEDIUM,Moderate,"Claim FRA0232 from Bastar, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0233,Madhya Pradesh,Dindori,20,LOW,Normal,"Claim FRA0233 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0234,Madhya Pradesh,Dindori,20,LOW,Normal,"Claim FRA0234 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0235,Chhattisgarh,Surguja,20,LOW,Normal,"Claim FRA0235 from Surguja, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0236,Jharkhand,Gumla,5,LOW,Normal,"Claim FRA0236 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0237,Chhattisgarh,Surguja,5,LOW,Normal,"Claim FRA0237 from Surguja, Chhattisgarh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0238,Chhattisgarh,Surguja,35,MEDIUM,Moderate,"Claim FRA0238 from Surguja, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0239,Jharkhand,Gumla,0,LOW,Normal,"Claim FRA0239 from Gumla, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0240,Madhya Pradesh,Balaghat,20,LOW,Normal,"Claim FRA0240 from Balaghat, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0241,Maharashtra,Nandurbar,30,LOW,Normal,"Claim FRA0241 from Nandurbar, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0242,Madhya Pradesh,Balaghat,35,MEDIUM,Moderate,"Claim FRA0242 from Balaghat, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0243,Odisha,Keonjhar,30,LOW,Normal,"Claim FRA0243 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0244,Maharashtra,Nashik,15,LOW,Normal,"Claim FRA0244 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0245,Maharashtra,Nashik,30,LOW,Normal,"Claim FRA0245 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0246,Jharkhand,Ranchi,20,LOW,Normal,"Claim FRA0246 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0247,Odisha,Mayurbhanj,35,MEDIUM,Moderate,"Claim FRA0247 from Mayurbhanj, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0248,Maharashtra,Gadchiroli,15,LOW,Normal,"Claim FRA0248 from Gadchiroli, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0249,Madhya Pradesh,Balaghat,35,MEDIUM,Moderate,"Claim FRA0249 from Balaghat, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0250,Odisha,Keonjhar,20,LOW,Normal,"Claim FRA0250 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0251,Jharkhand,Gumla,20,LOW,Normal,"Claim FRA0251 from Gumla, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0252,Chhattisgarh,Kanker,35,MEDIUM,Moderate,"Claim FRA0252 from Kanker, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0253,Jharkhand,Ranchi,25,LOW,Normal,"Claim FRA0253 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0254,Odisha,Keonjhar,15,LOW,Normal,"Claim FRA0254 from Keonjhar, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0255,Odisha,Keonjhar,35,MEDIUM,Moderate,"Claim FRA0255 from Keonjhar, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0256,Maharashtra,Nashik,5,LOW,Normal,"Claim FRA0256 from Nashik, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0257,Madhya Pradesh,Balaghat,40,MEDIUM,Moderate,"Claim FRA0257 from Balaghat, Madhya Pradesh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | Multiple previous rejections | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0258,Odisha,Mayurbhanj,5,LOW,Normal,"Claim FRA0258 from Mayurbhanj, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0259,Madhya Pradesh,Mandla,5,LOW,Normal,"Claim FRA0259 from Mandla, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0260,Chhattisgarh,Surguja,0,LOW,Normal,"Claim FRA0260 from Surguja, Chhattisgarh has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
