claim_id,state,district,risk_score,risk_level,reasons,recommended_action
FRA0306,Chhattisgarh,Surguja,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0307,Chhattisgarh,Bastar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0308,Odisha,Mayurbhanj,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0309,Jharkhand,Gumla,25,LOW,High claim overlap,No immediate action required
FRA0310,Odisha,Koraput,25,LOW,High claim overlap,No immediate action required
FRA0311,Maharashtra,Nashik,25,LOW,High claim overlap,No immediate action required
FRA0312,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0313,Jharkhand,Ranchi,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0314,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0315,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0316,Jharkhand,Gumla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0317,Madhya Pradesh,Balaghat,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0318,Madhya Pradesh,Balaghat,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0319,Madhya Pradesh,Dindori,15,LOW,Long processing delay,No immediate action required
FRA0320,Madhya Pradesh,Balaghat,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0321,Maharashtra,Gadchiroli,0,LOW,,No immediate action required
FRA0322,Jharkhand,Simdega,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0323,Chhattisgarh,Bastar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0324,Odisha,Mayurbhanj,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0325,Chhattisgarh,Surguja,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0326,Jharkhand,Gumla,15,LOW,Long processing delay,No immediate action required
FRA0327,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0328,Madhya Pradesh,Mandla,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0329,Odisha,Keonjhar,10,LOW,ML anomaly detected,No immediate action required
FRA0330,Maharashtra,Nashik,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0331,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0332,Madhya Pradesh,Mandla,5,LOW,Multiple previous rejections,No immediate action required
FRA0333,Madhya Pradesh,Balaghat,0,LOW,,No immediate action required
FRA0334,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0335,Jharkhand,Ranchi,5,LOW,Multiple previous rejections,No immediate action required
FRA0336,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0337,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0338,Madhya Pradesh,Mandla,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0339,Maharashtra,Nashik,0,LOW,,No immediate action required
FRA0340,Chhattisgarh,Bastar,30,LOW,Long processing delay | Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0341,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0342,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0343,Maharashtra,Nandurbar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0344,Chhattisgarh,Surguja,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0345,Jharkhand,Ranchi,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0346,Chhattisgarh,Surguja,25,LOW,High claim overlap,No immediate action required
FRA0347,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0348,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0349,Jharkhand,Ranchi,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0350,Chhattisgarh,Bastar,15,LOW,Moderate claim overlap,No immediate action required
FRA0351,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0352,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0353,Chhattisgarh,Kanker,25,LOW,High claim overlap,No immediate action required
FRA0354,Odisha,Keonjhar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0355,Chhattisgarh,Bastar,15,LOW,Moderate claim overlap,No immediate action required
FRA0356,Madhya Pradesh,Mandla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0357,Chhattisgarh,Surguja,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0358,Madhya Pradesh,Mandla,5,LOW,Multiple previous rejections,No immediate action required
FRA0359,Odisha,Keonjhar,15,LOW,Moderate claim overlap,No immediate action required
FRA0360,Odisha,Mayurbhanj,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0361,Maharashtra,Nandurbar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0362,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0363,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0364,Maharashtra,Nandurbar,5,LOW,Multiple previous rejections,No immediate action required
FRA0365,Jharkhand,Simdega,5,LOW,Multiple previous rejections,No immediate action required
FRA0366,Madhya Pradesh,Balaghat,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0367,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0368,Madhya Pradesh,Balaghat,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0369,Madhya Pradesh,Balaghat,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0370,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0371,Chhattisgarh,Surguja,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0372,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0373,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0374,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0375,Chhattisgarh,Surguja,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0376,Jharkhand,Gumla,5,LOW,Multiple previous rejections,No immediate action required
FRA0377,Maharashtra,Nandurbar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0378,Madhya Pradesh,Dindori,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0379,Maharashtra,Nandurbar,5,LOW,Multiple previous rejections,No immediate action required
FRA0380,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0381,Odisha,Mayurbhanj,50,MEDIUM,Long processing delay | High claim overlap | ML anomaly detected,Perform additional document verification
FRA0382,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0383,Madhya Pradesh,Dindori,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0384,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0385,Madhya Pradesh,Balaghat,25,LOW,High claim overlap,No immediate action required
FRA0386,Jharkhand,Gumla,15,LOW,Moderate claim overlap,No immediate action required
FRA0387,Jharkhand,Simdega,0,LOW,,No immediate action required
FRA0388,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0389,Chhattisgarh,Bastar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0390,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0391,Jharkhand,Ranchi,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0392,Madhya Pradesh,Mandla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0393,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0394,Odisha,Keonjhar,15,LOW,Moderate claim overlap,No immediate action required
FRA0395,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0396,Maharashtra,Gadchiroli,10,LOW,ML anomaly detected,No immediate action required
FRA0397,Maharashtra,Gadchiroli,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0398,Madhya Pradesh,Mandla,15,LOW,Long processing delay,No immediate action required
FRA0399,Chhattisgarh,Bastar,10,LOW,ML anomaly detected,No immediate action required
FRA0400,Chhattisgarh,Kanker,25,LOW,High claim overlap,No immediate action required
FRA0401,Chhattisgarh,Bastar,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0402,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0403,Maharashtra,Gadchiroli,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0404,Odisha,Koraput,5,LOW,Multiple previous rejections,No immediate action required
FRA0405,Chhattisgarh,Surguja,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0406,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0407,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0408,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0409,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0410,Maharashtra,Gadchiroli,0,LOW,,No immediate action required
FRA0411,Madhya Pradesh,Dindori,15,LOW,Moderate claim overlap,No immediate action required
FRA0412,Madhya Pradesh,Balaghat,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0413,Chhattisgarh,Bastar,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0414,Madhya Pradesh,Dindori,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0415,Maharashtra,Nandurbar,15,LOW,Long processing delay,No immediate action required
FRA0416,Jharkhand,Ranchi,25,LOW,High claim overlap,No immediate action required
FRA0417,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0418,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0419,Maharashtra,Gadchiroli,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0420,Maharashtra,Gadchiroli,15,LOW,Moderate claim overlap,No immediate action required
FRA0421,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0422,Chhattisgarh,Kanker,5,LOW,Multiple previous rejections,No immediate action required
FRA0423,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0424,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0425,Madhya Pradesh,Dindori,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0426,Odisha,Mayurbhanj,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0427,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0428,Odisha,Koraput,5,LOW,Multiple previous rejections,No immediate action required
FRA0429,Madhya Pradesh,Dindori,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0430,Madhya Pradesh,Dindori,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0431,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0432,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0433,Madhya Pradesh,Balaghat,15,LOW,Moderate claim overlap,No immediate action required
FRA0434,Maharashtra,Gadchiroli,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0435,Odisha,Keonjhar,0,LOW,,No immediate action required
FRA0436,Chhattisgarh,Kanker,5,LOW,Multiple previous rejections,No immediate action required
FRA0437,Maharashtra,Gadchiroli,15,LOW,Long processing delay,No immediate action required
FRA0438,Odisha,Mayurbhanj,25,LOW,High claim overlap,No immediate action required
FRA0439,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0440,Maharashtra,Gadchiroli,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0441,Odisha,Mayurbhanj,25,LOW,High claim overlap,No immediate action required
FRA0442,Jharkhand,Ranchi,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0443,Madhya Pradesh,Dindori,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0444,Jharkhand,Gumla,30,LOW,Long processing delay | Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0445,Maharashtra,Nandurbar,5,LOW,Multiple previous rejections,No immediate action required
FRA0446,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0447,Odisha,Koraput,90,CRITICAL,Severe processing delay | Large area mismatch | High claim overlap | Multiple previous rejections | ML anomaly detected,Conduct field verification and verify land records
FRA0448,Chhattisgarh,Bastar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0449,Odisha,Keonjhar,30,LOW,Moderate claim overlap | Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0450,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0451,Maharashtra,Nandurbar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0452,Odisha,Keonjhar,25,LOW,High claim overlap,No immediate action required
FRA0453,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0454,Chhattisgarh,Kanker,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0455,Chhattisgarh,Kanker,15,LOW,Long processing delay,No immediate action required
FRA0456,Chhattisgarh,Bastar,5,LOW,Multiple previous rejections,No immediate action required
FRA0457,Maharashtra,Gadchiroli,15,LOW,Moderate claim overlap,No immediate action required
FRA0458,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0459,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0460,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0461,Odisha,Mayurbhanj,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0462,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0463,Odisha,Mayurbhanj,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0464,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0465,Madhya Pradesh,Mandla,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0466,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0467,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0468,Chhattisgarh,Kanker,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0469,Jharkhand,Gumla,0,LOW,,No immediate action required
FRA0470,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0471,Maharashtra,Gadchiroli,15,LOW,Long processing delay,No immediate action required
FRA0472,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0473,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0474,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0475,Jharkhand,Gumla,15,LOW,Long processing delay,No immediate action required
FRA0476,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0477,Maharashtra,Nandurbar,15,LOW,Moderate claim overlap,No immediate action required
FRA0478,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0479,Odisha,Koraput,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0480,Madhya Pradesh,Mandla,15,LOW,Multiple previous rejections | ML anomaly detected,No immediate action required
FRA0481,Jharkhand,Gumla,25,LOW,High claim overlap,No immediate action required
FRA0482,Maharashtra,Nandurbar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0483,Maharashtra,Nashik,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0484,Chhattisgarh,Kanker,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0485,Odisha,Keonjhar,5,LOW,Multiple previous rejections,No immediate action required
FRA0486,Madhya Pradesh,Dindori,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0487,Madhya Pradesh,Dindori,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0488,Maharashtra,Gadchiroli,0,LOW,,No immediate action required
FRA0489,Chhattisgarh,Bastar,0,LOW,,No immediate action required
FRA0490,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0491,Madhya Pradesh,Balaghat,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0492,Jharkhand,Gumla,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0493,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0494,Chhattisgarh,Kanker,5,LOW,Multiple previous rejections,No immediate action required
FRA0495,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0496,Jharkhand,Simdega,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0497,Maharashtra,Gadchiroli,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0498,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0499,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0500,Jharkhand,Gumla,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0501,Odisha,Koraput,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0502,Madhya Pradesh,Dindori,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0503,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0504,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0505,Maharashtra,Nandurbar,15,LOW,Moderate claim overlap,No immediate action required
FRA0506,Chhattisgarh,Surguja,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0507,Chhattisgarh,Kanker,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0508,Madhya Pradesh,Balaghat,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0509,Chhattisgarh,Bastar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0510,Madhya Pradesh,Mandla,25,LOW,High claim overlap,No immediate action required
FRA0511,Jharkhand,Gumla,0,LOW,,No immediate action required
FRA0512,Madhya Pradesh,Balaghat,10,LOW,ML anomaly detected,No immediate action required
FRA0513,Chhattisgarh,Surguja,5,LOW,Multiple previous rejections,No immediate action required
FRA0514,Chhattisgarh,Kanker,15,LOW,Moderate claim overlap,No immediate action required
FRA0515,Jharkhand,Gumla,15,LOW,Moderate claim overlap,No immediate action required
FRA0516,Madhya Pradesh,Balaghat,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0517,Jharkhand,Simdega,5,LOW,Multiple previous rejections,No immediate action required
FRA0518,Madhya Pradesh,Mandla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0519,Maharashtra,Nashik,15,LOW,Moderate claim overlap,No immediate action required
FRA0520,Madhya Pradesh,Dindori,5,LOW,Multiple previous rejections,No immediate action required
FRA0521,Odisha,Mayurbhanj,15,LOW,Moderate claim overlap,No immediate action required
FRA0522,Chhattisgarh,Bastar,25,LOW,High claim overlap,No immediate action required
FRA0523,Jharkhand,Simdega,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0524,Maharashtra,Nashik,15,LOW,Long processing delay,No immediate action required
FRA0525,Odisha,Koraput,25,LOW,High claim overlap,No immediate action required
FRA0526,Jharkhand,Ranchi,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0527,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0528,Maharashtra,Nandurbar,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0529,Chhattisgarh,Surguja,0,LOW,,No immediate action required
FRA0530,Jharkhand,Gumla,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0531,Chhattisgarh,Kanker,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0532,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0533,Maharashtra,Nashik,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0534,Chhattisgarh,Kanker,15,LOW,Long processing delay,No immediate action required
FRA0535,Madhya Pradesh,Balaghat,15,LOW,Long processing delay,No immediate action required
FRA0536,Chhattisgarh,Kanker,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0537,Odisha,Mayurbhanj,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0538,Maharashtra,Gadchiroli,15,LOW,Moderate claim overlap,No immediate action required
FRA0539,Jharkhand,Simdega,15,LOW,Long processing delay,No immediate action required
FRA0540,Maharashtra,Nashik,5,LOW,Multiple previous rejections,No immediate action required
FRA0541,Chhattisgarh,Kanker,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0542,Chhattisgarh,Kanker,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0543,Maharashtra,Gadchiroli,0,LOW,,No immediate action required
FRA0544,Chhattisgarh,Kanker,15,LOW,Long processing delay,No immediate action required
FRA0545,Jharkhand,Ranchi,15,LOW,Long processing delay,No immediate action required
FRA0546,Madhya Pradesh,Balaghat,5,LOW,Multiple previous rejections,No immediate action required
FRA0547,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0548,Jharkhand,Ranchi,0,LOW,,No immediate action required
FRA0549,Maharashtra,Nashik,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0550,Jharkhand,Ranchi,5,LOW,Multiple previous rejections,No immediate action required
FRA0551,Chhattisgarh,Bastar,5,LOW,Multiple previous rejections,No immediate action required
FRA0552,Odisha,Koraput,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0553,Jharkhand,Ranchi,5,LOW,Multiple previous rejections,No immediate action required
FRA0554,Maharashtra,Nandurbar,25,LOW,High claim overlap,No immediate action required
FRA0555,Odisha,Mayurbhanj,5,LOW,Multiple previous rejections,No immediate action required
FRA0556,Madhya Pradesh,Dindori,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0557,Odisha,Keonjhar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0558,Odisha,Koraput,25,LOW,High claim overlap,No immediate action required
FRA0559,Odisha,Mayurbhanj,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0560,Chhattisgarh,Bastar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0561,Jharkhand,Ranchi,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0562,Madhya Pradesh,Mandla,0,LOW,,No immediate action required
FRA0563,Odisha,Keonjhar,0,LOW,,No immediate action required
FRA0564,Odisha,Koraput,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0565,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0566,Jharkhand,Gumla,0,LOW,,No immediate action required
FRA0567,Chhattisgarh,Bastar,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0568,Maharashtra,Gadchiroli,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0569,Jharkhand,Gumla,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,Perform additional document verification
FRA0570,Maharashtra,Nashik,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0571,Chhattisgarh,Bastar,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
FRA0572,Chhattisgarh,Bastar,5,LOW,Multiple previous rejections,No immediate action required
FRA0573,Chhattisgarh,Kanker,0,LOW,,No immediate action required
FRA0574,Odisha,Keonjhar,30,LOW,Long processing delay | Moderate claim overlap,No immediate action required
FRA0575,Chhattisgarh,Surguja,15,LOW,Moderate claim overlap,No immediate action required
FRA0576,Odisha,Koraput,25,LOW,High claim overlap,No immediate action required
FRA0577,Odisha,Keonjhar,0,LOW,,No immediate action required
FRA0578,Maharashtra,Nashik,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0579,Chhattisgarh,Kanker,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0580,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0581,Madhya Pradesh,Dindori,0,LOW,,No immediate action required
FRA0582,Odisha,Mayurbhanj,0,LOW,,No immediate action required
FRA0583,Maharashtra,Nashik,40,MEDIUM,Long processing delay | High claim overlap,Perform additional document verification
FRA0584,Madhya Pradesh,Dindori,25,LOW,High claim overlap,No immediate action required
FRA0585,Madhya Pradesh,Dindori,30,LOW,High claim overlap | Multiple previous rejections,No immediate action required
FRA0586,Maharashtra,Gadchiroli,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0587,Odisha,Mayurbhanj,15,LOW,Long processing delay,No immediate action required
FRA0588,Jharkhand,Gumla,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0589,Maharashtra,Nandurbar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0590,Odisha,Koraput,15,LOW,Moderate claim overlap,No immediate action required
FRA0591,Jharkhand,Simdega,15,LOW,Moderate claim overlap,No immediate action required
FRA0592,Chhattisgarh,Bastar,15,LOW,Long processing delay,No immediate action required
FRA0593,Odisha,Mayurbhanj,25,LOW,High claim overlap,No immediate action required
FRA0594,Odisha,Mayurbhanj,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0595,Maharashtra,Nandurbar,20,LOW,Long processing delay | Multiple previous rejections,No immediate action required
FRA0596,Odisha,Keonjhar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0597,Odisha,Mayurbhanj,55,HIGH,Long processing delay | High claim overlap | Multiple previous rejections | ML anomaly detected,Review claim documents and processing history
FRA0598,Odisha,Keonjhar,25,LOW,High claim overlap,No immediate action required
FRA0599,Odisha,Koraput,0,LOW,,No immediate action required
FRA0600,Maharashtra,Nandurbar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0601,Chhattisgarh,Kanker,5,LOW,Multiple previous rejections,No immediate action required
FRA0602,Maharashtra,Gadchiroli,5,LOW,Multiple previous rejections,No immediate action required
FRA0603,Jharkhand,Ranchi,15,LOW,Moderate claim overlap,No immediate action required
FRA0604,Chhattisgarh,Bastar,20,LOW,Moderate claim overlap | Multiple previous rejections,No immediate action required
FRA0605,Madhya Pradesh,Dindori,25,LOW,High claim overlap,No immediate action required
FRA0606,Chhattisgarh,Kanker,45,MEDIUM,Long processing delay | High claim overlap | Multiple previous rejections,Perform additional document verification
