claim_id,state,district,latitude,longitude,ml_anomaly,risk_score,risk_level,reasons,recommended_action,priority,decision_brief
FRA0172,Chhattisgarh,Surguja,22.866851,83.175392,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0172 from Surguja, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0173,Maharashtra,Nandurbar,21.226873,74.159935,NO,0,LOW,,,Normal,"Claim FRA0173 from Nandurbar, Maharashtra has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0174,Madhya Pradesh,Dindori,22.867132,81.009006,YES,30,LOW,Long processing delay | Multiple previous rejections | ML anomaly detected,,Normal,"Claim FRA0174 from Dindori, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections | ML anomaly detected. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0175,Madhya Pradesh,Dindori,23.003127,80.986842,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0175 from Dindori, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0176,Odisha,Keonjhar,21.653649,85.589505,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0176 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0177,Maharashtra,Gadchiroli,20.290753,79.851649,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0177 from Gadchiroli, Maharashtra has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0178,Odisha,Koraput,18.78432,82.755805,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0178 from Koraput, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0179,Maharashtra,Nandurbar,21.371088,74.198738,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0179 from Nandurbar, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0180,Madhya Pradesh,Dindori,23.082888,81.216908,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0180 from Dindori, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0181,Madhya Pradesh,Mandla,22.510476,80.341686,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0181 from Mandla, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0182,Odisha,Koraput,18.797184,82.570196,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0182 from Koraput, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0183,Maharashtra,Nandurbar,21.254548,74.110315,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0183 from Nandurbar, Maharashtra has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0184,Odisha,Mayurbhanj,22.04704,86.578043,NO,0,LOW,,,Normal,"Claim FRA0184 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0185,Maharashtra,Nandurbar,21.283728,74.1914,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0185 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0186,Chhattisgarh,Bastar,19.159614,81.886502,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0186 from Bastar, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0187,Madhya Pradesh,Mandla,22.502776,80.483304,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0187 from Mandla, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0188,Madhya Pradesh,Mandla,22.731619,80.318225,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0188 from Mandla, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0189,Odisha,Koraput,18.796587,82.646172,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0189 from Koraput, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0190,Jharkhand,Simdega,22.555541,84.63537,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0190 from Simdega, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0191,Odisha,Mayurbhanj,22.049398,86.814524,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0191 from Mayurbhanj, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0192,Odisha,Mayurbhanj,22.041292,86.683784,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0192 from Mayurbhanj, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0193,Chhattisgarh,Bastar,19.211795,81.865643,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0193 from Bastar, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0194,Jharkhand,Gumla,23.024592,84.399921,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0194 from Gumla, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0195,Madhya Pradesh,Mandla,22.453082,80.359469,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0195 from Mandla, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0196,Jharkhand,Simdega,22.547708,84.669474,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0196 from Simdega, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0197,Chhattisgarh,Bastar,18.954735,81.963185,NO,40,MEDIUM,Long processing delay | High claim overlap,,Moderate,"Claim FRA0197 from Bastar, Chhattisgarh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | High claim overlap. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0198,Jharkhand,Simdega,22.535636,84.660841,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0198 from Simdega, Jharkhand has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0199,Madhya Pradesh,Mandla,22.509544,80.414763,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0199 from Mandla, Madhya Pradesh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0200,Madhya Pradesh,Dindori,22.816058,81.212575,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0200 from Dindori, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0201,Odisha,Mayurbhanj,21.822354,86.769881,NO,0,LOW,,,Normal,"Claim FRA0201 from Mayurbhanj, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0202,Madhya Pradesh,Balaghat,21.946713,80.206878,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0202 from Balaghat, Madhya Pradesh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0203,Odisha,Keonjhar,21.700185,85.472889,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0203 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0204,Chhattisgarh,Bastar,19.037319,81.988552,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0204 from Bastar, Chhattisgarh has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0205,Madhya Pradesh,Balaghat,21.732823,80.128897,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0205 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0206,Jharkhand,Gumla,22.901532,84.570489,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0206 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0207,Odisha,Keonjhar,21.502269,85.538516,NO,0,LOW,,,Normal,"Claim FRA0207 from Keonjhar, Odisha has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0208,Jharkhand,Ranchi,23.292521,85.383578,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0208 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0209,Odisha,Keonjhar,21.735398,85.436035,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0209 from Keonjhar, Odisha has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0210,Madhya Pradesh,Balaghat,21.854441,80.18902,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0210 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0211,Chhattisgarh,Surguja,22.890764,83.050544,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0211 from Surguja, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0212,Odisha,Mayurbhanj,21.838825,86.640528,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0212 from Mayurbhanj, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0213,Odisha,Koraput,18.811936,82.585115,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0213 from Koraput, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0214,Madhya Pradesh,Balaghat,21.850209,80.210589,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0214 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0215,Chhattisgarh,Surguja,22.855818,83.164228,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0215 from Surguja, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0216,Jharkhand,Ranchi,23.205761,85.284394,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0216 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0217,Jharkhand,Ranchi,23.2222,85.16392,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0217 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0218,Maharashtra,Nandurbar,21.223864,74.363504,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0218 from Nandurbar, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0219,Jharkhand,Ranchi,23.299433,85.192373,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0219 from Ranchi, Jharkhand has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0220,Chhattisgarh,Kanker,20.183602,81.41406,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0220 from Kanker, Chhattisgarh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0221,Chhattisgarh,Bastar,19.139649,81.84522,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0221 from Bastar, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0222,Jharkhand,Ranchi,23.431238,85.299373,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0222 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0223,Maharashtra,Gadchiroli,20.236871,79.948433,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0223 from Gadchiroli, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0224,Maharashtra,Nashik,19.973729,73.748335,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0224 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0225,Jharkhand,Ranchi,23.472562,85.30338,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0225 from Ranchi, Jharkhand has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0226,Chhattisgarh,Bastar,19.207682,81.889645,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0226 from Bastar, Chhattisgarh has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0227,Madhya Pradesh,Balaghat,21.938151,80.195995,NO,15,LOW,Long processing delay,,Normal,"Claim FRA0227 from Balaghat, Madhya Pradesh has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0228,Jharkhand,Ranchi,23.32641,85.292088,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0228 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0229,Jharkhand,Ranchi,23.405392,85.232611,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0229 from Ranchi, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0230,Maharashtra,Nashik,19.995283,73.910193,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0230 from Nashik, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0231,Madhya Pradesh,Balaghat,21.932265,80.157657,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0231 from Balaghat, Madhya Pradesh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0232,Chhattisgarh,Bastar,19.090497,82.040027,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0232 from Bastar, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0233,Madhya Pradesh,Dindori,22.972182,81.114732,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0233 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0234,Madhya Pradesh,Dindori,23.065732,81.19907,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0234 from Dindori, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0235,Chhattisgarh,Surguja,22.842726,83.136427,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0235 from Surguja, Chhattisgarh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0236,Jharkhand,Gumla,22.924094,84.562655,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0236 from Gumla, Jharkhand has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0237,Chhattisgarh,Surguja,22.959139,83.191939,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0237 from Surguja, Chhattisgarh has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0238,Chhattisgarh,Surguja,23.04892,83.09984,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0238 from Surguja, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0239,Jharkhand,Gumla,23.098954,84.451194,NO,0,LOW,,,Normal,"Claim FRA0239 from Gumla, Jharkhand has a risk score of 0/100 (LOW). No major risk indicators were detected for this claim. Key factors: . Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0240,Madhya Pradesh,Balaghat,21.702633,80.257131,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0240 from Balaghat, Madhya Pradesh has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0241,Maharashtra,Nandurbar,21.325094,74.197902,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0241 from Nandurbar, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0242,Madhya Pradesh,Balaghat,21.785938,80.168387,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0242 from Balaghat, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0243,Odisha,Keonjhar,21.774117,85.530293,NO,30,LOW,High claim overlap | Multiple previous rejections,,Normal,"Claim FRA0243 from Keonjhar, Odisha has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0244,Maharashtra,Nashik,19.892251,73.852235,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0244 from Nashik, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0245,Maharashtra,Nashik,20.144789,73.666253,NO,30,LOW,Long processing delay | Moderate claim overlap,,Normal,"Claim FRA0245 from Nashik, Maharashtra has a risk score of 30/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0246,Jharkhand,Ranchi,23.287411,85.367599,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0246 from Ranchi, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0247,Odisha,Mayurbhanj,21.997081,86.605458,YES,35,MEDIUM,High claim overlap | ML anomaly detected,,Moderate,"Claim FRA0247 from Mayurbhanj, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0248,Maharashtra,Gadchiroli,20.297886,80.047596,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0248 from Gadchiroli, Maharashtra has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0249,Madhya Pradesh,Balaghat,21.668931,80.099985,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0249 from Balaghat, Madhya Pradesh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0250,Odisha,Keonjhar,21.772883,85.721184,NO,20,LOW,Moderate claim overlap | Multiple previous rejections,,Normal,"Claim FRA0250 from Keonjhar, Odisha has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0251,Jharkhand,Gumla,23.169928,84.534101,NO,20,LOW,Long processing delay | Multiple previous rejections,,Normal,"Claim FRA0251 from Gumla, Jharkhand has a risk score of 20/100 (LOW). No major risk indicators were detected for this claim. Key factors: Long processing delay | Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0252,Chhattisgarh,Kanker,20.395966,81.352401,YES,35,MEDIUM,High claim overlap | ML anomaly detected,,Moderate,"Claim FRA0252 from Kanker, Chhattisgarh has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0253,Jharkhand,Ranchi,23.394273,85.247116,NO,25,LOW,High claim overlap,,Normal,"Claim FRA0253 from Ranchi, Jharkhand has a risk score of 25/100 (LOW). No major risk indicators were detected for this claim. Key factors: High claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0254,Odisha,Keonjhar,21.672482,85.64586,NO,15,LOW,Moderate claim overlap,,Normal,"Claim FRA0254 from Keonjhar, Odisha has a risk score of 15/100 (LOW). No major risk indicators were detected for this claim. Key factors: Moderate claim overlap. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0255,Odisha,Keonjhar,21.647833,85.585283,NO,35,MEDIUM,Long processing delay | Moderate claim overlap | Multiple previous rejections,,Moderate,"Claim FRA0255 from Keonjhar, Odisha has a risk score of 35/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: Long processing delay | Moderate claim overlap | Multiple previous rejections. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
FRA0256,Maharashtra,Nashik,20.00756,73.696808,NO,5,LOW,Multiple previous rejections,,Normal,"Claim FRA0256 from Nashik, Maharashtra has a risk score of 5/100 (LOW). No major risk indicators were detected for this claim. Key factors: Multiple previous rejections. Recommended action: No immediate action required. Final decision must be made by the authorized official."
FRA0257,Madhya Pradesh,Balaghat,21.75402,80.176711,YES,40,MEDIUM,High claim overlap | Multiple previous rejections | ML anomaly detected,,Moderate,"Claim FRA0257 from Balaghat, Madhya Pradesh has a risk score of 40/100 (MEDIUM). This claim has some risk indicators and may require additional verification. Key factors: High claim overlap | Multiple previous rejections | ML anomaly detected. Recommended action: Perform additional document verification. Final decision must be made by the authorized official."
